draft_window,prompt_id,proposed_tokens,accepted_tokens,rejected_tokens,windows,accept_rate,elapsed_s,prompt
1,1,24,15,9,24,0.625,1.991,LLM에서 speculative decoding이 뭔지 비전공자에게 설명해줘.
1,2,18,7,11,18,0.3889,0.897,한국어 이메일을 더 정중하게 다듬어줘: 내일까지 자료 보내주세요.
1,3,24,17,7,24,0.7083,1.53,Python으로 간단한 TODO CLI를 만들어줘.
2,1,31,15,16,16,0.4839,1.045,LLM에서 speculative decoding이 뭔지 비전공자에게 설명해줘.
2,2,28,7,21,14,0.25,0.947,한국어 이메일을 더 정중하게 다듬어줘: 내일까지 자료 보내주세요.
2,3,27,17,10,14,0.6296,0.979,Python으로 간단한 TODO CLI를 만들어줘.
4,1,45,15,30,12,0.3333,1.081,LLM에서 speculative decoding이 뭔지 비전공자에게 설명해줘.
4,2,50,7,43,13,0.14,1.17,한국어 이메일을 더 정중하게 다듬어줘: 내일까지 자료 보내주세요.
4,3,36,17,19,10,0.4722,0.98,Python으로 간단한 TODO CLI를 만들어줘.
8,1,74,15,59,10,0.2027,1.462,LLM에서 speculative decoding이 뭔지 비전공자에게 설명해줘.
8,2,84,7,77,12,0.0833,1.709,한국어 이메일을 더 정중하게 다듬어줘: 내일까지 자료 보내주세요.
8,3,48,17,31,7,0.3542,0.899,Python으로 간단한 TODO CLI를 만들어줘.
