draft_window,prompt_id,proposed_tokens,accepted_tokens,rejected_tokens,windows,accept_rate,elapsed_s,prompt
1,1,32,21,11,32,0.6562,2.754,LLM에서 speculative decoding이 뭔지 비전공자에게 설명해줘.
1,2,32,28,4,32,0.875,2.71,한국어 이메일을 더 정중하게 다듬어줘: 내일까지 자료 보내주세요.
1,3,32,24,8,32,0.75,1.947,Python으로 간단한 TODO CLI를 만들어줘.
1,4,32,23,9,32,0.7188,1.355,긴 회의록을 핵심 결정사항과 액션아이템으로 요약해줘.
1,5,32,26,6,32,0.8125,1.445,왜 기존 OpenAI API 위에서는 사용자 GPU로 비용 절감이 어려운지 설명해줘.
2,1,38,21,17,19,0.5526,1.24,LLM에서 speculative decoding이 뭔지 비전공자에게 설명해줘.
2,2,34,28,6,17,0.8235,1.06,한국어 이메일을 더 정중하게 다듬어줘: 내일까지 자료 보내주세요.
2,3,36,24,12,18,0.6667,1.027,Python으로 간단한 TODO CLI를 만들어줘.
2,4,37,23,14,19,0.6216,1.165,긴 회의록을 핵심 결정사항과 액션아이템으로 요약해줘.
2,5,37,26,11,19,0.7027,1.144,왜 기존 OpenAI API 위에서는 사용자 GPU로 비용 절감이 어려운지 설명해줘.
4,1,50,21,29,13,0.42,1.031,LLM에서 speculative decoding이 뭔지 비전공자에게 설명해줘.
4,2,40,28,12,10,0.7,0.818,한국어 이메일을 더 정중하게 다듬어줘: 내일까지 자료 보내주세요.
4,3,46,24,22,12,0.5217,0.959,Python으로 간단한 TODO CLI를 만들어줘.
4,4,53,23,30,14,0.434,1.151,긴 회의록을 핵심 결정사항과 액션아이템으로 요약해줘.
4,5,47,26,21,12,0.5532,1.151,왜 기존 OpenAI API 위에서는 사용자 GPU로 비용 절감이 어려운지 설명해줘.
8,1,86,21,65,11,0.2442,1.48,LLM에서 speculative decoding이 뭔지 비전공자에게 설명해줘.
8,2,44,28,16,6,0.6364,0.872,한국어 이메일을 더 정중하게 다듬어줘: 내일까지 자료 보내주세요.
8,3,78,24,54,10,0.3077,1.342,Python으로 간단한 TODO CLI를 만들어줘.
8,4,84,23,61,11,0.2738,1.39,긴 회의록을 핵심 결정사항과 액션아이템으로 요약해줘.
8,5,67,26,41,9,0.3881,1.232,왜 기존 OpenAI API 위에서는 사용자 GPU로 비용 절감이 어려운지 설명해줘.
